Parameter,Value
EA_ALPHA,0.3
EA_BETA,0.992638
EA_BFYTARGET,0.0
EA_BYTARGET,2.4
EA_CHIH,0.5
EA_CHII,0.75
EA_CHIJ,0.75
EA_CHIX,0.5
EA_DELTA,0.025
EA_ETA,6.0
EA_ETAI,6.0
EA_ETAJ,6.0
EA_GAMMAB1,0.01
EA_GAMMAI1,3.0
EA_GAMMAIMC1,2.5
EA_GAMMAIMI1,0.0
EA_GAMMAU1,0.032765
EA_GAMMAU2,0.007
EA_GAMMAV1,0.289073
EA_GAMMAV2,0.150339
EA_GYBAR,0.18
EA_KAPPA,0.6
EA_MUC,1.5
EA_MUI,1.5
EA_NUC,0.919622
EA_NUI,0.418629
EA_OMEGA,0.25
EA_PHIRGY,0.1
EA_PHIRPI,2.0
EA_PHIRR,0.95
EA_PHITB,0.1
EA_PI4TARGET,1.02
EA_PIBAR,0.961117319822928
EA_PSI,0.2
EA_PSIBAR,0.725396223742712
EA_PYBAR,1.00645740523434
EA_QBAR,0.961117319822928
EA_RHOG,0.9
EA_RHOR,0.9
EA_RHORP,0.9
EA_RHOTAUC,0.9
EA_RHOTAUD,0.9
EA_RHOTAUK,0.9
EA_RHOTAUN,0.9
EA_RHOTAUWF,0.9
EA_RHOTAUWH,0.9
EA_RHOTR,0.9
EA_RHOZ,0.9
EA_SIGMA,2.0
EA_SIZE,0.4194
EA_TAUCBAR,0.183
EA_TAUDBAR,0.0
EA_TAUKBAR,0.184123
EA_TAUNBAR,0.122
EA_TAUWFBAR,0.219
EA_TAUWHBAR,0.118
EA_THETA,6.0
EA_TRYBAR,0.195161
EA_UPSILONT,1.2
EA_UPSILONTR,0.6666666666666666
EA_XIH,0.9
EA_XII,0.75
EA_XIJ,0.75
EA_XIX,0.3
EA_YBAR,3.62698111871356
EA_ZBAR,1.0
EA_ZETA,2.0
US_ALPHA,0.3
US_BETA,0.992638
US_BYTARGET,2.4
US_CHIH,0.5
US_CHII,0.75
US_CHIJ,0.75
US_CHIX,0.5
US_DELTA,0.025
US_ETA,6.0
US_ETAI,6.0
US_ETAJ,6.0
US_GAMMAB1,0.01
US_GAMMAI1,3.0
US_GAMMAIMC1,2.5
US_GAMMAIMI1,0.0
US_GAMMAU1,0.034697
US_GAMMAU2,0.007
US_GAMMAV1,0.028706
US_GAMMAV2,0.150339
US_GYBAR,0.16
US_KAPPA,0.6
US_MUC,1.5
US_MUI,1.5
US_NUC,0.899734
US_NUI,0.673228
US_OMEGA,0.25
US_PHIRGY,0.1
US_PHIRPI,2.0
US_PHIRR,0.95
US_PHITB,0.1
US_PI4TARGET,1.02
US_PIBAR,1.01776829477927
US_PSI,0.2
US_PSIBAR,0.784891221176995
US_PYBAR,0.992282866960427
US_QBAR,1.01776829477927
US_RER,1.0
US_RHOG,0.9
US_RHOR,0.9
US_RHOTAUC,0.9
US_RHOTAUD,0.9
US_RHOTAUK,0.9
US_RHOTAUN,0.9
US_RHOTAUWF,0.9
US_RHOTAUWH,0.9
US_RHOTR,0.9
US_RHOZ,0.9
US_SIGMA,2.0
US_SIZE,0.5806
US_TAUCBAR,0.077
US_TAUDBAR,0.0
US_TAUKBAR,0.184123
US_TAUNBAR,0.154
US_TAUWFBAR,0.071
US_TAUWHBAR,0.071
US_THETA,6.0
US_TRYBAR,0.079732
US_UPSILONT,1.2
US_UPSILONTR,0.6666666666666666
US_XIH,0.9
US_XII,0.75
US_XIJ,0.75
US_XIX,0.3
US_YBAR,3.92445610588497
US_ZBAR,1.0
US_ZETA,2.0
σ_EA_G,1.0
σ_EA_R,1.0
σ_EA_RP,1.0
σ_EA_TAUC,1.0
σ_EA_TAUD,1.0
σ_EA_TAUK,1.0
σ_EA_TAUN,1.0
σ_EA_TAUWF,1.0
σ_EA_TAUWH,1.0
σ_EA_TR,1.0
σ_EA_Z,1.0
σ_US_G,1.0
σ_US_R,1.0
σ_US_TAUC,1.0
σ_US_TAUD,1.0
σ_US_TAUK,1.0
σ_US_TAUN,1.0
σ_US_TAUWF,1.0
σ_US_TAUWH,1.0
σ_US_TR,1.0
σ_US_Z,1.0
